4,57,100,148,187,228,276,326,363,410,454,498,542,591,638,689,727,781,824,870,920,971,1021,1075,1130,1245,1306,1360,1679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,104,190,281,366,457,548,647,739,838,934,1038,1144,1269,1381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,102,196,284,373,456,550,646,745,842,940,1041,1153,1268,2617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,86,111,140,186,233,262,337,360,384,411,429,483,537,640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,40,65,91,113,146,168,193,217,240,269,294,318,343,364,390,417,439,470,493,517,543,577,597,625,659,682,705,729,761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,42,114,167,195,238,266,315,341,388,416,465,490,570,611,645,694,720,778,806,855,884,966,1023,1057,1113,1141,1207,1241,1307,1676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,48,72,101,158,235,613,988,1019,1051,1084,1154,1193,1229,1267,1301,1336,1375,1409,1439,1472,1506,1539,1577,1612,1642,1677,1715,1748,1787,1829,1865,1903,1937,1972,2005,2045,2078,2119,2149,2187,2226,2259,2299,2343,2372,2413,2443,2479,2511,2548,2580,2610,2643,2674,2707,2737,2774,2813,2852,2882,2916,2953,2989,3020,3053,3075,3114,3146,,,,,,,,,
14,197,286,372,461,559,653,747,847,943,1050,1166,1284,1396,1513,1617,1726,1838,1955,2079,2201,2330,2449,2563,2673,2782,2896,3108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,35,49,71,97,123,151,199,221,246,300,421,444,473,494,519,546,578,598,623,656,680,704,728,758,810,841,863,889,919,946,1380,1414,1470,1498,1528,1561,1588,1625,1648,1680,1713,1741,1772,1807,1840,1870,1909,1941,1971,2001,2040,2067,2077,2104,2136,2204,2290,2359,2389,2460,2494,2628,2666,2685,2694,2721,2753,2818,2886,2914,2948,,,,,,
17,52,74,107,133,161,208,234,264,292,319,397,449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,60,90,121,155,185,219,248,282,346,374,407,433,474,500,536,573,601,636,670,703,733,734,775,808,844,874,909,945,976,1013,1059,1090,1133,1175,1211,1253,1299,1335,1378,1421,1495,1532,1574,1611,1645,1683,1727,1764,1809,1851,1892,1933,1974,2019,2058,2105,2143,2191,2235,2280,2326,2409,2450,2489,2532,2609,2652,2692,2729,2770,2811,2855,2890,2973,3015,3051,3123
23,64,99,139,172,204,279,313,605,648,686,759,800,835,877,914,953,992,1037,1078,1125,1172,1214,1264,1312,1356,1400,1440,1485,1527,1576,1620,1659,1705,1746,1789,1843,1888,1942,1985,2037,2080,2131,2181,2229,2278,2331,2423,2518,2562,2608,2651,2699,2738,2784,2829,2877,2927,,,,,,,,,,,,,,,,,,,,
24,56,78,108,134,160,179,229,256,288,308,309,333,336,358,362,385,392,412,450,463,489,511,594,1170,1200,1240,1279,1314,1351,1388,1423,1736,1765,1792,1832,1968,2106,2282,2316,2519,2551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,178,220,252,299,331,404,478,514,592,633,671,708,751,789,831,868,910,951,995,1036,1082,1127,1176,1218,1270,1368,2841,2888,2935,3024,3154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,77,125,214,257,305,351,394,437,531,585,634,683,726,780,879,922,974,1032,1083,1136,1195,1255,1428,1484,1541,1599,1654,1712,1763,1828,1886,1944,2003,2065,2249,2317,2438,2498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1347,1425,1493,1567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,76,126,170,254,302,347,387,428,476,518,569,608,664,756,803,854,897,998,1095,1155,1210,1271,1326,1383,1432,1596,1649,1757,1938,1990,2051,2110,2228,2526,2579,2693,2748,2863,2971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,87,138,227,280,330,377,424,475,882,1226,1286,1891,1951,2020,2148,2217,2285,2350,2475,2535,2596,2663,2719,2778,2901,2966,3023,3071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,95,119,191,230,263,306,332,379,405,448,477,522,551,596,629,676,702,754,782,858,904,1016,1070,1825,1881,1919,1975,2070,2109,2170,2207,2266,2309,2369,2462,2499,2554,2589,2646,2681,2731,2766,2824,2917,2958,3010,3042,3089,3125,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,83,127,166,201,244,283,322,356,399,516,562,600,690,722,887,926,972,1067,1203,1310,1359,1410,1458,1551,1641,1690,1738,1786,1834,1883,1932,1988,2041,2087,2133,2186,2236,2291,2342,2384,2934,2984,3029,3069,3117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,164,253,352,442,541,641,743,848,947,1062,1178,1300,1420,1529,1643,1760,2013,2269,2400,2641,2756,2879,2999,3106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,106,132,159,181,207,232,261,291,1134,1169,1194,1227,1261,1295,1324,1352,1386,1418,1443,1473,1503,1535,1569,1590,1626,1652,1678,1711,1740,1767,1794,1833,1864,1897,1962,1991,2029,2059,2094,2124,2157,2192,2258,2295,2329,2362,2394,2428,2490,2525,2553,2581,2615,2649,2677,2708,2735,2771,2828,2891,2924,2957,,,,,,,,,,,,,,,
29,82,141,189,242,298,349,400,452,503,565,614,675,724,843,896,952,1206,1281,1342,1542,1604,1735,1793,1940,2004,2139,2221,2293,2432,2503,2569,2635,2765,2836,2899,3032,3086,3151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,137,177,222,438,484,528,581,626,716,770,816,860,913,958,1007,1066,1118,1173,1231,1285,1340,1399,1451,1563,1616,1722,1778,1836,1896,1950,2011,2068,2130,2188,2248,2313,2370,2431,2488,2545,2602,2660,2718,2764,2823,2880,2937,2992,3045,3090,3145,,,,,,,,,,,,,,,,,,,,,,,,,,
103,406,447,584,673,715,815,859,907,954,1001,1061,1108,1165,1217,1274,1329,1384,1436,1489,1545,1593,1647,1701,1814,1868,1928,1987,2046,2101,2219,2452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,188,212,239,260,289,338,359,386,413,431,462,486,509,538,568,590,612,644,669,695,721,752,777,804,830,856,883,911,939,969,999,1028,1058,1085,1115,1142,1181,1209,1243,1278,1404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,116,200,1131,1465,1571,1674,2709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,224,273,320,409,453,497,545,593,639,692,787,837,885,936,984,1040,1091,1149,1213,1272,1330,1389,1442,1552,1662,1717,1774,1837,1899,1957,2023,2081,2140,2205,2267,2333,2388,2451,2566,2682,2795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,203,267,560,1924,1998,2073,2153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
